hpo_id,maxo_label
HP:0006990,biopsy of brain
HP:0025037,biopsy of brain
HP:0100707,biopsy of brain
HP:0100708,biopsy of brain
HP:0100705,biopsy of brain
HP:0100706,biopsy of brain
HP:0100709,biopsy of brain
HP:0012675,biopsy of brain
HP:0034381,biopsy of brain
HP:0012414,biopsy of duodenum
HP:0033116,biopsy of duodenum
HP:0033117,biopsy of duodenum
HP:0040298,biopsy of endometrium
HP:0410152,biopsy of esophagus
HP:0410151,biopsy of esophagus
HP:0011128,biopsy of esophagus
HP:0034520,biopsy of esophagus
HP:0003338,biopsy of heart
HP:0034364,biopsy of heart
HP:0001685,biopsy of heart
HP:0001706,biopsy of heart
HP:0001700,biopsy of heart
HP:0034532,biopsy of heart
HP:0004362,biopsy of intestine
HP:0025151,biopsy of intestine
HP:0025150,biopsy of intestine
HP:0011465,biopsy of intestine
HP:0011285,biopsy of intestine
HP:0011286,biopsy of intestine
HP:0011464,biopsy of intestine
HP:0011284,biopsy of intestine
HP:0005241,biopsy of intestine
HP:0002251,biopsy of intestine
HP:0025149,biopsy of intestine
HP:0025029,biopsy of intestine
HP:0025030,biopsy of intestine
HP:0030938,biopsy of intestine
HP:0030937,biopsy of intestine
HP:0030936,biopsy of intestine
HP:0025028,biopsy of intestine
HP:0025090,biopsy of large intestine
HP:0032216,biopsy of large intestine
HP:0032203,biopsy of large intestine
HP:0031137,biopsy of liver
HP:0001397,biopsy of liver
HP:0006555,biopsy of liver
HP:0006565,biopsy of liver
HP:0006573,biopsy of liver
HP:0006561,biopsy of liver
HP:0001414,biopsy of liver
HP:0001403,biopsy of liver
HP:0001395,biopsy of liver
HP:0001405,biopsy of liver
HP:0002612,biopsy of liver
HP:0012852,biopsy of liver
HP:0001394,biopsy of liver
HP:0001413,biopsy of liver
HP:0006577,biopsy of liver
HP:0011005,biopsy of liver
HP:0011040,biopsy of liver
HP:0001401,biopsy of liver
HP:0005248,biopsy of liver
HP:0025344,biopsy of liver
HP:0006571,biopsy of liver
HP:0034328,biopsy of liver
HP:0005209,biopsy of liver
HP:0033149,biopsy of liver
HP:0002605,biopsy of liver
HP:0001404,biopsy of liver
HP:0002614,biopsy of liver
HP:0002613,biopsy of liver
HP:0001408,biopsy of liver
HP:0030986,biopsy of liver
HP:0030989,biopsy of liver
HP:0030988,biopsy of liver
HP:0030151,biopsy of liver
HP:0030987,biopsy of liver
HP:0030991,biopsy of liver
HP:0030990,biopsy of liver
HP:0034294,biopsy of liver
HP:0012280,biopsy of liver
HP:0032220,biopsy of liver
HP:0030146,biopsy of liver
HP:0032021,biopsy of liver
HP:0032221,biopsy of liver
HP:0033197,biopsy of liver
HP:0033193,biopsy of liver
HP:0031941,biopsy of liver
HP:0005201,biopsy of liver
HP:0031015,biopsy of liver
HP:0031942,biopsy of liver
HP:0500030,biopsy of liver
HP:0006568,biopsy of liver
HP:0033196,biopsy of liver
HP:0034685,biopsy of liver
HP:0034686,biopsy of liver
HP:0033571,biopsy of lung
HP:0033208,biopsy of lung
HP:0033245,biopsy of lung
HP:0033328,biopsy of lung
HP:0033246,biopsy of lung
HP:0002729,biopsy of lymph node
HP:0002849,biopsy of lymph node
HP:0034582,biopsy of lymph node
HP:0034522,biopsy of lymph node
HP:0034583,biopsy of lymph node
HP:0025126,biopsy of mouth
HP:0025125,biopsy of mouth
HP:0410023,biopsy of mouth
HP:0004303,biopsy of muscle tissue
HP:0003554,biopsy of muscle tissue
HP:0003555,biopsy of muscle tissue
HP:0003687,biopsy of muscle tissue
HP:0100300,biopsy of muscle tissue
HP:0003557,biopsy of muscle tissue
